protein,degree,clustering_coefficient,betweenness_centrality,closeness_centrality,pagerank,drug_target
CYB5R3,17,0.13970588235294118,0.0003616973761697766,0.2560806811250956,9.760566030300209e-05,1
POR,37,0.1996996996996997,0.0010254650337922283,0.2777130025941327,0.00018889253572704855,1
ARSA,18,0.2679738562091503,0.00024315309165494212,0.24306879239936824,0.00012135986403967604,0
DHODH,39,0.1282051282051282,0.0006377389035811335,0.2769145796309605,0.00017776455618409914,1
DPYD,49,0.11564625850340136,0.0010506248510962137,0.2831611262881718,0.00021809171793630048,1
HBA2,14,0.5274725274725275,2.9447118375920646e-05,0.2500338967019536,8.536972971328017e-05,0
AHSP,22,0.4458874458874459,8.617393179426341e-05,0.24298035229152393,0.00013309191253447033,1
HBA1,14,0.6263736263736264,2.285139668857981e-05,0.2426154815823088,8.66390390762498e-05,0
HBB,24,0.358695652173913,0.00035897088221848453,0.2660798470945989,0.00013017925901921852,1
MARC2,5,0.4,4.49355058430618e-05,0.2453850375672521,3.7577727655752896e-05,0
MARC1,2,1.0,0.0,0.22160272556180707,2.5029632807182086e-05,0
SCD,40,0.2,0.0014425661442350125,0.2995009269739391,0.000177505796872726,0
SUOX,15,0.2,0.0001257154718527487,0.2577145798340674,9.112134831888752e-05,0
AIMP2,18,0.6535947712418301,0.00032046550823168696,0.3011577176228238,6.924719262702782e-05,0
DARS1,19,0.5847953216374269,3.899230646035971e-05,0.2692770968701711,7.441210885797528e-05,1
AIMP1,25,0.78,4.400098897460934e-05,0.26329630709870855,8.738659999195939e-05,0
EEF1E1,16,0.9166666666666666,4.800465597945306e-06,0.2605432934577565,6.280596251765898e-05,0
RPS3,233,0.29073553352079323,0.0035637542315565133,0.3288718606510511,0.0003817435278648801,0
QRSL1,13,0.5384615384615384,2.7337077657151654e-05,0.25869962045325184,5.5432203342655004e-05,0
EIF5B,64,0.44345238095238093,0.0004736688920431621,0.2961626113464319,0.00013343151796582064,0
SLX4,33,0.6439393939393939,0.00011070090083294571,0.27745147361983064,9.044308379293047e-05,0
FAAH2,7,0.47619047619047616,3.7882362741162656e-05,0.2547521172800886,4.0131167972174655e-05,0
RPS11,200,0.37824120603015077,0.00017073661763174295,0.3052600336300584,0.0003123324437575873,0
SYNCRIP,57,0.37406015037593987,0.0010592306038023662,0.30464730402269896,0.00014718515439930986,0
MRPL13,105,0.493956043956044,0.0004978466468836332,0.3032179441690993,0.00017624722157734082,0
RPS19,147,0.49296430901127575,0.00037034942073319,0.31533062623383906,0.0002339424616528329,1
RPS8,188,0.38121515530777106,0.00035982217018523666,0.2979774519906704,0.00029255161104597933,1
RPS15,191,0.3867181041609259,0.0004057492476108251,0.30982024012032555,0.00030402683286660814,0
RPL21,124,0.6425386834513507,1.0452219162642928e-05,0.2934212485301375,0.00018640152544250815,0
RPS3A,154,0.47398353280706224,1.2001221859684845e-05,0.29799518082910503,0.00024567738589982596,1
COPB2,22,0.42424242424242425,0.00048223201766408707,0.2569213881753922,0.00012001976843908601,0
